geo_id,geo_level,pop_total,trials_per_100k,coverage_residual,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,pct_poverty,median_hh_income,gini_index,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,endo_per_100k,amc_count,has_ctsa,dist_nearest_trial_km,has_trial_site,county_trial_count,county_site_count,burden_decile,lat,lon,pop,pct_nhwhite,endo_count
29073,county,14801.0,0.0,0.0,9.1,32.8,5.9,26.7,10.0,13.4,10.7,20.3,12.0,8.3,28.0,19.6,39.2,3.1,11.634349030470917,62638.0,0.4603,0.8715627322478211,0.8107560299979731,2.244556113902848,13.38358458961474,2.114597544338336,8.1,19.3,0.0,0,0,54.625836736404125,False,0,0,3,38.446364,-91.490137,14794,94.43280859401392,0
29075,county,6219.0,0.0,0.0,10.1,33.5,6.2,26.2,10.6,15.5,12.9,21.8,13.1,9.2,31.4,19.8,40.9,3.3,14.841614407461009,53799.0,0.4588,0.498472423219167,2.0582087152275284,3.1529612270984235,18.150830847890923,2.87097890003459,11.6,21.1,0.0,0,0,105.96503987831514,False,0,0,4,40.203737,-94.432825,6162,94.70976041164174,0
29079,county,9878.0,0.0,0.0,10.7,34.2,6.5,27.1,11.2,16.9,14.0,23.2,14.1,10.0,32.5,20.4,39.6,3.5,16.00526422352703,51045.0,0.4754,0.3948167645272322,2.682729297428629,3.993694167104572,21.702574881765635,4.086021505376344,18.4,15.0,0.0,0,0,137.04179756833682,False,0,0,5,40.093264,-93.59577,9808,93.22737396234056,0
29081,county,8190.0,0.0,0.0,10.5,34.2,6.6,26.9,11.3,16.8,14.6,23.0,14.0,10.0,32.3,20.5,39.7,3.5,16.01953601953602,51809.0,0.4111,1.0134310134310134,2.673992673992674,2.555592432791238,16.362429472286756,2.2504327755337563,7.4,16.9,0.0,0,0,130.4006492172548,False,0,0,5,40.315594,-94.001268,8157,93.96825396825396,0
29083,county,22064.0,0.0,0.0,10.4,34.2,6.5,26.9,11.0,16.4,13.9,22.7,14.0,9.8,31.5,20.3,38.6,3.4,14.78879622915156,54903.0,0.4639,0.7251631617113851,2.84173313995649,1.8071637268693863,13.797208094362082,6.674732809034079,10.7,15.9,0.0,0,0,86.0395970819198,False,0,0,5,38.394287,-93.73769,21946,92.30873821609862,0
29085,county,8452.0,0.0,0.0,11.9,37.1,7.6,28.5,12.9,22.0,20.7,27.4,17.0,12.5,36.5,22.1,43.1,4.1,17.321344060577378,33302.0,0.4535,0.1419782300047326,2.1296734500709893,2.1974885844748857,31.478310502283104,8.742004264392325,14.6,10.1,0.0,0,0,67.28423573834002,False,0,0,7,37.91105,-93.329051,8279,93.85944155229532,0
29087,county,4274.0,0.0,0.0,9.4,32.8,6.0,26.0,10.3,14.2,11.4,20.3,12.5,8.7,30.4,19.4,37.0,3.2,9.148338792700049,55153.0,0.4504,0.6551240056153487,1.4272344408048667,1.6055045871559632,23.107798165137616,3.85,10.0,21.1,0.0,0,0,97.72361942774576,False,0,0,3,40.084331,-95.185877,4223,94.71221338324754,0
29089,county,10142.0,0.0,0.0,8.7,32.8,5.8,26.2,10.1,13.2,10.4,19.7,12.0,8.3,28.3,18.8,36.0,3.1,11.891145730625125,59023.0,0.4268,5.777953066456321,1.9621376454348252,1.791044776119403,13.462686567164178,4.489164086687307,9.8,26.4,0.0,0,0,47.22357319640646,False,0,0,3,39.140559,-92.70446,10151,87.25103529875764,0
29093,county,9538.0,0.0,0.0,10.7,35.3,6.7,28.1,11.5,17.4,15.0,23.9,14.4,10.3,33.0,20.7,42.1,3.6,18.788005871251837,53401.0,0.4331,0.6500314531348291,2.002516250786329,2.093692750588851,17.717874901858153,3.306192943498643,11.0,18.8,0.0,0,0,37.99274108511496,False,0,0,5,37.578019,-90.713802,9537,92.3464038582512,0
29101,county,54025.0,0.0,0.0,8.7,32.0,5.8,26.4,10.3,13.3,10.4,19.1,12.2,8.5,27.2,19.0,37.5,3.1,11.318833873206849,62503.0,0.3989,3.5298472929199445,5.036557149467839,1.237083393974676,8.150196477950807,4.185492627228468,10.1,28.4,0.0,0,0,72.7284082543242,False,0,0,3,38.758577,-93.770288,54013,84.41462285978713,0
29103,county,3772.0,0.0,0.0,11.4,35.1,7.0,26.9,11.6,18.5,16.2,24.8,14.8,10.8,33.0,20.9,39.8,3.7,12.460233297985154,49167.0,0.4427,1.1930010604453871,0.8218451749734889,0.8665511265164645,33.27556325823224,2.090800477897252,25.3,16.0,0.0,0,0,90.1008162622656,False,0,0,5,40.155205,-92.154081,3744,93.98197242841994,0
29105,county,36060.0,0.0,0.0,11.2,34.9,6.8,27.1,11.5,18.2,15.9,23.9,14.8,10.6,33.0,20.6,38.3,3.6,16.799778147531892,49202.0,0.454,0.4769828064337216,2.717692734331669,2.405019170442663,15.60822586266992,5.927944293066909,11.6,16.9,0.0,0,0,46.01128719691639,False,0,0,5,37.669688,-92.653795,36039,91.13422074320576,0
29107,county,32858.0,0.0,0.0,9.0,31.6,5.6,25.9,9.5,12.4,9.5,19.2,11.5,7.9,27.2,19.0,36.8,2.9,9.054111631870471,78397.0,0.3814,2.090815022216812,3.35686895124475,1.159062885326757,14.023838882038635,2.423603793466808,8.4,22.9,0.0,0,0,67.13812118613384,False,0,0,2,39.055172,-93.842193,32984,90.83328261001888,0
29109,county,38231.0,0.0,0.0,12.1,34.5,6.8,26.7,11.5,18.1,15.1,24.1,15.0,10.5,33.9,20.3,40.1,3.6,14.349611571761136,52225.0,0.42,0.2511051241139389,8.158300855326829,3.3700184564905324,13.657802994052908,5.17631103074141,14.5,15.3,0.0,0,0,57.247043197265285,False,0,0,5,37.034976,-93.799734,38001,87.2956501268604,0
